Distance function;Image size;Instance class;Instance;Optimal objective function value;Solution time [ms];IIO time [ms];Matryoshka time [ms];IIO step 2 basis changes;IIO iterations
OF1;512;GRFrough;08-06;214970340093209;50549130;49269875;1279255;3238983;12710
OF1;512;GRFrough;08-07;305842823390235;21957815;20713587;1244228;3659166;11648
OF1;512;GRFrough;08-09;194449971514738;24188218;23107100;1081118;3260077;10753
OF1;512;GRFrough;08-10;357066501907064;33361185;32155635;1205550;3839244;17392
OF1;512;GRFrough;09-06;235653678483682;30958881;30056551;902330;3357088;12274
OF1;512;GRFrough;09-07;282708774020790;35496782;34231577;1265205;3623582;15319
OF1;512;GRFrough;10-01;271340839326800;32991789;31593701;1398088;3425874;17493
OF1;512;GRFrough;10-02;321397544687800;32893908;31743144;1150764;3501651;13500
OF1;512;GRFrough;10-05;306118296012427;35627060;34089964;1537096;3372515;13889
OF1;512;GRFrough;10-06;249155605229135;30344315;29345331;998984;3407940;15082
OF1;512;GRFrough;10-07;233959532878275;44168547;43171372;997175;3424251;16174
OF1;512;GRFrough;10-09;365536574989494;23995163;22911093;1084070;3678488;13935
OF1;512;GRFsmooth;01-05;1520879975278739;70372553;68406220;1966333;6823495;63906
OF1;512;GRFsmooth;01-06;1602910955433267;82205779;79652107;2553672;6532142;46280
OF1;512;GRFsmooth;01-07;1482079200513794;64154705;61929772;2224933;5585931;35523
OF1;512;GRFsmooth;01-09;1039673374054075;43879173;42597214;1281959;4923147;23500
OF1;512;GRFsmooth;02-01;1402475458121166;98740050;96184565;2555485;4611427;40091
OF1;512;GRFsmooth;02-05;1454346882639752;58579104;56547266;2031838;6432987;40750
OF1;512;GRFsmooth;02-06;2775110061722794;90761718;88294303;2467415;8080149;47523
OF1;512;GRFsmooth;02-07;2473688795032584;72521642;69931332;2590310;6669867;40818
OF1;512;GRFsmooth;02-09;2162008842664423;99787708;96467247;3320461;6238564;41410
OF1;512;GRFsmooth;03-01;1274738766592383;47236681;45620771;1615910;5961210;29292
OF1;512;GRFsmooth;03-02;2287829583607788;93733974;91487245;2246729;7496458;46794
