Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],NWC time [ms],IIO step 2 basis changes,IIO iterations
OF1,32,LogGRF,03-08,611046609980,279,0,24663,352
OF1,32,LogGRF,03-09,813087523418,258,0,21709,299
OF1,32,LogGRF,03-10,604018471603,254,0,20217,411
OF1,32,LogGRF,04-05,836210874339,195,0,17156,266
OF1,32,LogGRF,04-08,485346904215,209,0,19227,263
OF1,32,LogGRF,04-10,560389981853,257,0,21057,479
OF1,32,LogGRF,05-08,732000819700,158,0,16593,156
OF1,32,LogGRF,05-10,464954297767,175,0,17622,185
OF1,32,LogGRF,06-04,772543483823,241,0,22230,341
OF1,32,LogGRF,06-05,1173610074928,160,0,16164,167
OF1,32,LogGRF,06-08,581340592011,207,0,20706,290
OF1,32,LogGRF,06-09,760751470109,220,0,21103,253
OF1,32,LogGRF,06-10,811939161755,168,0,17215,176
OF1,32,LogGRF,07-02,455085991593,245,0,21365,323
OF1,32,LogGRF,07-03,698146793833,244,0,22987,307
OF1,32,LogGRF,07-04,705506373846,269,0,19775,407
OF1,32,LogGRF,07-05,1057784144167,190,0,19371,206
OF1,32,LogGRF,07-06,633432661811,199,0,20889,256
OF1,32,LogGRF,07-08,480471447078,206,0,19168,233
OF1,32,LogGRF,07-09,1152383340952,239,0,24339,309
OF1,32,LogGRF,07-10,771177657445,219,0,21310,247
OF1,32,LogGRF,09-04,1038208324024,229,0,23432,292
OF1,32,LogGRF,09-05,957469197853,249,0,22083,313
OF1,32,LogGRF,09-08,833753863897,193,0,20339,247
OF1,32,LogGRF,09-10,721543011766,215,0,21377,276
OF1,32,LogGRF,10-08,435567537352,186,0,18423,208
OF1,32,LogitGRF,01-02,322586026369,295,0,23324,455
OF1,32,LogitGRF,01-03,331328964841,212,0,20034,281
OF1,32,LogitGRF,01-04,264270922095,286,0,22855,446
OF1,32,LogitGRF,01-05,220283295781,209,0,19722,251
OF1,32,LogitGRF,01-06,235155854599,219,0,20401,278
OF1,32,LogitGRF,01-07,319390732952,213,0,20632,248
